"Rank","Name","Tm","Vote Pts","1st Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G.P","GS","SV","IP","H.P","HR.P","BB.P","SO","year","league","rankWAR"
1,"Ty Cobb","DET",64,8,"100%",10.7,146,591,147,248,8,127,83,44,0.42,0.467,0.621,1.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",1
2,"Ed Walsh","CHW",35,0,"55%",9.1,63,155,22,34,0,9,0,1,0.219,0.229,0.239,0.468,27,18,2.22,1.082,56,37,4,368.2,327,4,72,255,1911,"AL",3
3,"Eddie Collins","PHA",32,0,"50%",6.5,132,493,92,180,3,73,38,62,0.365,0.451,0.481,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",7
4,"Shoeless Joe Jackson","CLE",28,0,"44%",9.2,147,571,126,233,7,83,41,56,0.408,0.468,0.59,1.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",2
5,"Walter Johnson","WSH",19,0,"30%",8.8,42,128,18,30,1,15,1,0,0.234,0.234,0.344,0.578,25,13,1.9,1.123,40,37,1,322.1,292,8,70,207,1911,"AL",4
6,"Birdie Cree","NYY",16,0,"25%",5.5,137,520,90,181,4,88,48,56,0.348,0.415,0.513,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",11
6,"Tris Speaker","BOS",16,0,"25%",6.1,141,500,88,167,8,70,25,59,0.334,0.418,0.502,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",9
8,"Ira Thomas","PHA",12,0,"19%",1.9,103,297,33,81,0,39,4,23,0.273,0.341,0.34,0.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",20
9,"Clyde Milan","WSH",10,0,"16%",5,154,616,109,194,3,35,58,74,0.315,0.395,0.394,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",12
10,"Vean Gregg","CLE",9,0,"14%",8.8,34,85,5,14,0,4,0,2,0.165,0.184,0.188,0.372,23,7,1.8,1.054,34,26,0,244.2,172,2,86,125,1911,"AL",4
11,"Home Run Baker","PHA",8,0,"12%",6.4,148,592,96,198,11,115,38,40,0.334,0.379,0.508,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",8
12,"Jack Coombs","PHA",6,0,"9%",4,52,141,31,45,2,23,5,8,0.319,0.356,0.418,0.774,28,12,3.53,1.423,47,40,2,336.2,360,8,119,185,1911,"AL",13
13,"Nap Lajoie","CLE",5,0,"8%",2.7,90,315,36,115,2,60,13,26,0.365,0.42,0.454,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",17
14,"Donie Bush","DET",4,0,"6%",1.7,150,561,126,130,1,36,40,98,0.232,0.349,0.287,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",21
14,"Sam Crawford","DET",4,0,"6%",5.7,146,574,109,217,7,115,37,61,0.378,0.438,0.526,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",10
14,"John Knight","NYY",4,0,"6%",0.8,132,470,69,126,3,62,18,42,0.268,0.342,0.351,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",23
14,"Bris Lord","PHA",4,0,"6%",3.8,134,574,92,178,3,55,15,35,0.31,0.355,0.429,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",14
18,"Jack Barry","PHA",3,0,"5%",2.7,127,442,73,117,1,63,30,38,0.265,0.333,0.344,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",17
18,"Russ Ford","NYY",3,0,"5%",6.7,37,102,10,20,0,8,2,3,0.196,0.219,0.235,0.454,22,11,2.27,1.162,37,33,0,281.1,251,3,76,158,1911,"AL",6
20,"Jimmy Austin","SLB",2,0,"3%",3.4,148,541,84,141,2,45,26,69,0.261,0.351,0.359,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",16
20,"Frank LaPorte","SLB",2,0,"3%",3.7,136,507,71,159,2,82,4,34,0.314,0.361,0.446,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",15
22,"George McBride","WSH",1,0,"2%",1.6,154,557,58,131,0,59,15,52,0.235,0.312,0.269,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",22
22,"Stuffy McInnis","PHA",1,0,"2%",2.3,126,468,76,150,3,77,23,25,0.321,0.361,0.425,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"AL",19
1,"Tris Speaker","BOS",59,NA,"92%",10.1,153,580,136,222,10,90,52,82,0.383,0.464,0.567,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",4
2,"Ed Walsh","CHW",30,NA,"47%",12.2,62,136,12,33,0,12,0,14,0.243,0.313,0.287,0.6,27,17,2.15,1.084,62,41,10,393,332,6,94,254,1912,"AL",2
3,"Walter Johnson","WSH",28,NA,"44%",14.6,55,144,16,38,2,20,2,7,0.264,0.298,0.403,0.701,33,12,1.39,0.908,50,37,2,369,259,2,76,303,1912,"AL",1
4,"Clyde Milan","WSH",23,NA,"36%",5.3,154,601,105,184,1,79,88,63,0.306,0.377,0.379,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",12
5,"Smoky Joe Wood","BOS",22,NA,"34%",11.7,43,124,16,36,1,13,0,11,0.29,0.348,0.435,0.784,34,5,1.91,1.015,43,38,1,344,267,2,82,258,1912,"AL",3
6,"Eddie Collins","PHA",18,NA,"28%",8.8,153,543,137,189,0,64,63,101,0.348,0.45,0.435,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",8
7,"Home Run Baker","PHA",17,NA,"27%",9.3,149,577,116,200,10,130,40,50,0.347,0.404,0.541,0.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",6
7,"Ty Cobb","DET",17,NA,"27%",9.2,140,553,120,226,7,83,61,43,0.409,0.456,0.584,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",7
9,"Shoeless Joe Jackson","CLE",16,NA,"25%",9.6,154,572,121,226,3,90,35,54,0.395,0.458,0.579,1.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",5
10,"Heinie Wagner","BOS",12,NA,"19%",2.8,144,504,75,138,2,68,21,62,0.274,0.358,0.359,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",18
11,"Chick Gandil","WSH",7,0,"11%",2.7,117,443,59,135,2,81,19,27,0.305,0.35,0.431,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",19
12,"Burt Shotton","SLB",6,0,"9%",3.9,154,580,87,168,2,40,35,86,0.29,0.39,0.353,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",15
13,"Del Pratt","SLB",5,0,"8%",3.6,152,570,76,172,5,69,24,36,0.302,0.348,0.426,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",16
14,"Jack Barry","PHA",4,0,"6%",4.1,140,483,75,126,0,55,22,47,0.261,0.335,0.337,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",14
14,"Sam Crawford","DET",4,0,"6%",4.7,149,581,81,189,4,109,42,42,0.325,0.373,0.47,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",13
14,"Eddie Foster","WSH",4,0,"6%",5.4,154,618,98,176,2,70,27,53,0.285,0.345,0.379,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",11
14,"Larry Gardner","BOS",4,0,"6%",5.6,143,517,88,163,3,86,25,56,0.315,0.383,0.449,0.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",10
18,"Bill Carrigan","BOS",3,0,"5%",1.2,87,266,34,70,0,24,7,38,0.263,0.359,0.297,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",22
18,"George Moriarty","DET",3,0,"5%",1.1,105,375,38,93,0,54,30,26,0.248,0.316,0.315,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",23
20,"Joe Birmingham","CLE",2,0,"3%",-0.1,107,369,49,94,1,45,15,26,0.255,0.311,0.331,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",24
21,"Bert Daniels","NYY",1,0,"2%",2.7,135,496,72,136,2,41,37,51,0.274,0.363,0.381,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",19
21,"George McBride","WSH",1,0,"2%",2.5,152,521,56,118,1,52,17,38,0.226,0.288,0.284,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",21
21,"Stuffy McInnis","PHA",1,0,"2%",5.7,153,568,83,186,3,101,27,49,0.327,0.384,0.433,0.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",9
21,"Danny Moeller","WSH",1,0,"2%",3.2,132,519,90,143,6,46,30,52,0.276,0.346,0.399,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"AL",17
1,"Walter Johnson","WSH",54,NA,"84%",16,55,134,12,35,2,14,2,5,0.261,0.293,0.433,0.726,36,7,1.14,0.78,48,36,2,346,232,9,38,243,1913,"AL",1
2,"Shoeless Joe Jackson","CLE",43,NA,"67%",7.6,148,528,109,197,7,71,26,80,0.373,0.46,0.551,1.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",6
3,"Eddie Collins","PHA",30,NA,"47%",9,148,534,125,184,3,73,55,85,0.345,0.441,0.453,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",3
4,"Tris Speaker","BOS",26,NA,"41%",8.3,141,520,94,189,3,71,46,65,0.363,0.441,0.533,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",4
5,"Home Run Baker","PHA",21,NA,"33%",7.9,149,564,116,190,12,117,34,63,0.337,0.413,0.493,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",5
6,"Chick Gandil","WSH",14,NA,"22%",4,148,550,61,175,1,72,22,36,0.318,0.363,0.398,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",15
7,"Stuffy McInnis","PHA",12,NA,"19%",5.3,148,543,79,176,4,90,16,45,0.324,0.382,0.416,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",9
8,"Wally Schang","PHA",11,NA,"17%",2.7,79,207,32,55,3,30,4,34,0.266,0.392,0.415,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",20
9,"Jack Barry","PHA",8,NA,"12%",4.7,134,455,62,125,3,85,15,44,0.275,0.349,0.365,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",13
9,"Clyde Milan","WSH",8,0,"12%",4.3,154,579,92,174,3,54,75,58,0.301,0.367,0.378,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",14
11,"Nap Lajoie","CLE",7,0,"11%",5.3,137,465,66,156,1,68,17,33,0.335,0.398,0.404,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",9
12,"Donie Bush","DET",6,0,"9%",3.6,152,597,98,150,1,40,44,80,0.251,0.344,0.322,0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",16
12,"Heinie Wagner","BOS",6,0,"9%",0.2,110,365,43,83,2,34,9,40,0.227,0.316,0.326,0.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",25
14,"Sam Crawford","DET",5,0,"8%",5.3,153,609,78,193,9,83,13,52,0.317,0.371,0.489,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",9
14,"George McBride","WSH",5,0,"8%",3.4,150,499,52,107,1,52,12,43,0.214,0.286,0.285,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",18
14,"Reb Russell","CHW",5,0,"8%",9.1,54,106,9,20,1,7,0,1,0.189,0.204,0.321,0.524,22,16,1.9,1.039,52,36,4,316.2,250,2,79,122,1913,"AL",2
14,"Jim Scott","CHW",5,0,"8%",6.8,48,97,3,7,1,8,2,3,0.072,0.109,0.113,0.222,20,21,1.9,1.082,48,38,1,312.1,252,2,86,158,1913,"AL",8
14,"Burt Shotton","SLB",5,0,"8%",4.9,147,549,105,163,1,28,43,99,0.297,0.405,0.373,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",12
14,"George Stovall","SLB",5,0,"8%",1.3,89,303,34,87,1,24,7,7,0.287,0.305,0.363,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",24
20,"Ty Cobb","DET",3,0,"5%",7.4,122,428,70,167,4,67,51,58,0.39,0.467,0.535,1.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",7
20,"Ray Schalk","CHW",3,0,"5%",1.8,129,401,38,98,1,38,14,27,0.244,0.297,0.314,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",22
22,"Chief Bender","PHA",2,0,"3%",3.6,48,78,7,12,0,10,1,6,0.154,0.214,0.218,0.432,21,10,2.21,1.128,48,21,13,236.2,208,2,59,135,1913,"AL",16
22,"Terry Turner","CLE",2,0,"3%",2.3,120,388,60,96,0,44,13,55,0.247,0.348,0.302,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",21
24,"Harry Hooper","BOS",1,0,"2%",3.1,148,586,100,169,4,40,26,60,0.288,0.359,0.399,0.759,0,0,0,1.5,1,0,0,2,2,0,1,0,1913,"AL",19
24,"Steve O'Neill","CLE",1,0,"2%",1.6,80,234,19,69,0,29,5,10,0.295,0.329,0.376,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"AL",23
1,"Eddie Collins","PHA",63,7,"98%",9.1,152,526,122,181,2,85,58,97,0.344,0.452,0.452,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",3
2,"Sam Crawford","DET",35,NA,"55%",6.2,157,582,74,183,8,104,25,69,0.314,0.388,0.483,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",5
3,"Home Run Baker","PHA",17,NA,"27%",7.3,150,570,84,182,9,89,19,53,0.319,0.38,0.442,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",4
3,"Donie Bush","DET",17,NA,"27%",5.6,157,596,97,150,0,32,35,112,0.252,0.373,0.295,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",7
5,"Shoeless Joe Jackson","CLE",15,NA,"23%",4.6,122,453,61,153,3,53,22,41,0.338,0.399,0.464,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",9
6,"Ray Schalk","CHW",13,NA,"20%",3.7,136,392,30,106,0,36,24,38,0.27,0.347,0.314,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",15
7,"Eddie Foster","WSH",11,NA,"17%",3.4,157,616,82,174,2,50,31,60,0.282,0.348,0.351,0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",18
7,"Stuffy McInnis","PHA",11,NA,"17%",3.8,149,576,74,181,1,95,25,19,0.314,0.341,0.368,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",14
7,"Buck Weaver","CHW",11,NA,"17%",1.1,136,541,64,133,2,28,14,20,0.246,0.279,0.327,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",27
10,"Del Pratt","SLB",10,NA,"16%",4.6,158,584,85,165,5,65,37,50,0.283,0.341,0.411,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",9
10,"Wally Schang","PHA",10,NA,"16%",3.4,107,307,44,88,3,45,7,32,0.287,0.371,0.404,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",18
12,"Tris Speaker","BOS",9,NA,"14%",9.9,158,571,101,193,4,90,42,77,0.338,0.423,0.503,0.926,0,0,9,2,1,0,0,1,2,0,0,0,1914,"AL",1
12,"Tillie Walker","SLB",9,NA,"14%",5.8,151,517,67,154,6,78,29,51,0.298,0.365,0.441,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",6
14,"Ty Cobb","DET",7,0,"11%",5.6,98,345,69,127,2,57,35,57,0.368,0.466,0.513,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",7
14,"Everett Scott","BOS",7,0,"11%",2.4,144,539,66,129,2,37,9,32,0.239,0.286,0.301,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",23
16,"Jack Barry","PHA",6,0,"9%",4.3,140,467,57,113,0,42,22,53,0.242,0.324,0.268,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",12
16,"Dutch Leonard","BOS",6,0,"9%",9.2,36,68,3,10,0,4,0,4,0.147,0.194,0.162,0.356,19,5,0.96,0.886,36,25,3,224.2,139,3,60,176,1914,"AL",2
18,"George McBride","WSH",5,0,"8%",1.9,157,503,49,102,0,24,12,43,0.203,0.274,0.243,0.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",24
18,"Eddie Plank","PHA",5,0,"8%",1.8,34,60,6,9,0,5,1,4,0.15,0.203,0.183,0.386,15,7,2.87,1.187,34,22,3,185.1,178,2,42,110,1914,"AL",25
20,"Harry Hooper","BOS",4,0,"6%",3.5,142,530,85,137,1,41,19,58,0.258,0.336,0.364,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",16
20,"Duffy Lewis","BOS",4,0,"6%",3,146,510,53,142,2,79,22,57,0.278,0.357,0.398,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",21
22,"Fritz Maisel","NYY",3,0,"5%",3.5,150,548,78,131,2,47,74,76,0.239,0.334,0.325,0.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",16
23,"Sam Agnew","SLB",2,0,"3%",0.3,115,311,22,66,0,16,10,24,0.212,0.279,0.254,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",28
23,"Roy Hartzell","NYY",2,0,"3%",1.5,137,481,55,112,1,32,22,68,0.233,0.335,0.308,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",26
23,"Clyde Milan","WSH",2,0,"3%",2.7,115,437,63,129,1,39,38,32,0.295,0.346,0.396,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"AL",22
