"years","teamID"
1902,"BLA"
1901,"BLA"
2015,"BAL"
2014,"BAL"
2013,"BAL"
2012,"BAL"
2011,"BAL"
2010,"BAL"
2009,"BAL"
2008,"BAL"
2007,"BAL"
2006,"BAL"
2005,"BAL"
2004,"BAL"
2003,"BAL"
2002,"BAL"
2001,"BAL"
2000,"BAL"
1999,"BAL"
1998,"BAL"
1997,"BAL"
1996,"BAL"
1995,"BAL"
1994,"BAL"
1993,"BAL"
1992,"BAL"
1991,"BAL"
1990,"BAL"
1989,"BAL"
1988,"BAL"
1987,"BAL"
1986,"BAL"
1985,"BAL"
1984,"BAL"
1983,"BAL"
1982,"BAL"
1981,"BAL"
1980,"BAL"
1979,"BAL"
1978,"BAL"
1977,"BAL"
1976,"BAL"
1975,"BAL"
1974,"BAL"
1973,"BAL"
1972,"BAL"
1971,"BAL"
1970,"BAL"
1969,"BAL"
1968,"BAL"
1967,"BAL"
1966,"BAL"
1965,"BAL"
1964,"BAL"
1963,"BAL"
1962,"BAL"
1961,"BAL"
1960,"BAL"
1959,"BAL"
1958,"BAL"
1957,"BAL"
1956,"BAL"
1955,"BAL"
1954,"BAL"
1953,"SLB"
1952,"SLB"
1951,"SLB"
1950,"SLB"
1949,"SLB"
1948,"SLB"
1947,"SLB"
1946,"SLB"
1945,"SLB"
1944,"SLB"
1943,"SLB"
1942,"SLB"
1941,"SLB"
1940,"SLB"
1939,"SLB"
1938,"SLB"
1937,"SLB"
1936,"SLB"
1935,"SLB"
1934,"SLB"
1933,"SLB"
1932,"SLB"
1931,"SLB"
1930,"SLB"
1929,"SLB"
1928,"SLB"
1927,"SLB"
1926,"SLB"
1925,"SLB"
1924,"SLB"
1923,"SLB"
1922,"SLB"
1921,"SLB"
1920,"SLB"
1919,"SLB"
1918,"SLB"
1917,"SLB"
1916,"SLB"
1915,"SLB"
1914,"SLB"
1913,"SLB"
1912,"SLB"
1911,"SLB"
1910,"SLB"
1909,"SLB"
1908,"SLB"
1907,"SLB"
1906,"SLB"
1905,"SLB"
1904,"SLB"
1903,"SLB"
1902,"SLB"
1901,"MLA"
2015,"BOS"
2014,"BOS"
2013,"BOS"
2012,"BOS"
2011,"BOS"
2010,"BOS"
2009,"BOS"
2008,"BOS"
2007,"BOS"
2006,"BOS"
2005,"BOS"
2004,"BOS"
2003,"BOS"
2002,"BOS"
2001,"BOS"
2000,"BOS"
1999,"BOS"
1998,"BOS"
1997,"BOS"
1996,"BOS"
1995,"BOS"
1994,"BOS"
1993,"BOS"
1992,"BOS"
1991,"BOS"
1990,"BOS"
1989,"BOS"
1988,"BOS"
1987,"BOS"
1986,"BOS"
1985,"BOS"
1984,"BOS"
1983,"BOS"
1982,"BOS"
1981,"BOS"
1980,"BOS"
1979,"BOS"
1978,"BOS"
1977,"BOS"
1976,"BOS"
1975,"BOS"
1974,"BOS"
1973,"BOS"
1972,"BOS"
1971,"BOS"
1970,"BOS"
1969,"BOS"
1968,"BOS"
1967,"BOS"
1966,"BOS"
1965,"BOS"
1964,"BOS"
1963,"BOS"
1962,"BOS"
1961,"BOS"
1960,"BOS"
1959,"BOS"
1958,"BOS"
1957,"BOS"
1956,"BOS"
1955,"BOS"
1954,"BOS"
1953,"BOS"
1952,"BOS"
1951,"BOS"
1950,"BOS"
1949,"BOS"
1948,"BOS"
1947,"BOS"
1946,"BOS"
1945,"BOS"
1944,"BOS"
1943,"BOS"
1942,"BOS"
1941,"BOS"
1940,"BOS"
1939,"BOS"
1938,"BOS"
1937,"BOS"
1936,"BOS"
1935,"BOS"
1934,"BOS"
1933,"BOS"
1932,"BOS"
1931,"BOS"
1930,"BOS"
1929,"BOS"
1928,"BOS"
1927,"BOS"
1926,"BOS"
1925,"BOS"
1924,"BOS"
1923,"BOS"
1922,"BOS"
1921,"BOS"
1920,"BOS"
1919,"BOS"
1918,"BOS"
1917,"BOS"
1916,"BOS"
1915,"BOS"
1914,"BOS"
1913,"BOS"
1912,"BOS"
1911,"BOS"
1910,"BOS"
1909,"BOS"
1908,"BOS"
1907,"BOS"
1906,"BOS"
1905,"BOS"
1904,"BOS"
1903,"BOS"
1902,"BOS"
1901,"BOS"
2015,"CHW"
2014,"CHW"
2013,"CHW"
2012,"CHW"
2011,"CHW"
2010,"CHW"
2009,"CHW"
2008,"CHW"
2007,"CHW"
2006,"CHW"
2005,"CHW"
2004,"CHW"
2003,"CHW"
2002,"CHW"
2001,"CHW"
2000,"CHW"
1999,"CHW"
1998,"CHW"
1997,"CHW"
1996,"CHW"
1995,"CHW"
1994,"CHW"
1993,"CHW"
1992,"CHW"
1991,"CHW"
1990,"CHW"
1989,"CHW"
1988,"CHW"
1987,"CHW"
1986,"CHW"
1985,"CHW"
1984,"CHW"
1983,"CHW"
1982,"CHW"
1981,"CHW"
1980,"CHW"
1979,"CHW"
1978,"CHW"
1977,"CHW"
1976,"CHW"
1975,"CHW"
1974,"CHW"
1973,"CHW"
1972,"CHW"
1971,"CHW"
1970,"CHW"
1969,"CHW"
1968,"CHW"
1967,"CHW"
1966,"CHW"
1965,"CHW"
1964,"CHW"
1963,"CHW"
1962,"CHW"
1961,"CHW"
1960,"CHW"
1959,"CHW"
1958,"CHW"
1957,"CHW"
1956,"CHW"
1955,"CHW"
1954,"CHW"
1953,"CHW"
1952,"CHW"
1951,"CHW"
1950,"CHW"
1949,"CHW"
1948,"CHW"
1947,"CHW"
1946,"CHW"
1945,"CHW"
1944,"CHW"
1943,"CHW"
1942,"CHW"
1941,"CHW"
1940,"CHW"
1939,"CHW"
1938,"CHW"
1937,"CHW"
1936,"CHW"
1935,"CHW"
1934,"CHW"
1933,"CHW"
1932,"CHW"
1931,"CHW"
1930,"CHW"
1929,"CHW"
1928,"CHW"
1927,"CHW"
1926,"CHW"
1925,"CHW"
1924,"CHW"
1923,"CHW"
1922,"CHW"
1921,"CHW"
1920,"CHW"
1919,"CHW"
1918,"CHW"
1917,"CHW"
1916,"CHW"
1915,"CHW"
1914,"CHW"
1913,"CHW"
1912,"CHW"
1911,"CHW"
1910,"CHW"
1909,"CHW"
1908,"CHW"
1907,"CHW"
1906,"CHW"
1905,"CHW"
1904,"CHW"
1903,"CHW"
1902,"CHW"
1901,"CHW"
2015,"CLE"
2014,"CLE"
2013,"CLE"
2012,"CLE"
2011,"CLE"
2010,"CLE"
2009,"CLE"
2008,"CLE"
2007,"CLE"
2006,"CLE"
2005,"CLE"
2004,"CLE"
2003,"CLE"
2002,"CLE"
2001,"CLE"
2000,"CLE"
1999,"CLE"
1998,"CLE"
1997,"CLE"
1996,"CLE"
1995,"CLE"
1994,"CLE"
1993,"CLE"
1992,"CLE"
1991,"CLE"
1990,"CLE"
1989,"CLE"
1988,"CLE"
1987,"CLE"
1986,"CLE"
1985,"CLE"
1984,"CLE"
1983,"CLE"
1982,"CLE"
1981,"CLE"
1980,"CLE"
1979,"CLE"
1978,"CLE"
1977,"CLE"
1976,"CLE"
1975,"CLE"
1974,"CLE"
1973,"CLE"
1972,"CLE"
1971,"CLE"
1970,"CLE"
1969,"CLE"
1968,"CLE"
1967,"CLE"
1966,"CLE"
1965,"CLE"
1964,"CLE"
1963,"CLE"
1962,"CLE"
1961,"CLE"
1960,"CLE"
1959,"CLE"
1958,"CLE"
1957,"CLE"
1956,"CLE"
1955,"CLE"
1954,"CLE"
1953,"CLE"
1952,"CLE"
1951,"CLE"
1950,"CLE"
1949,"CLE"
1948,"CLE"
1947,"CLE"
1946,"CLE"
1945,"CLE"
1944,"CLE"
1943,"CLE"
1942,"CLE"
1941,"CLE"
1940,"CLE"
1939,"CLE"
1938,"CLE"
1937,"CLE"
1936,"CLE"
1935,"CLE"
1934,"CLE"
1933,"CLE"
1932,"CLE"
1931,"CLE"
1930,"CLE"
1929,"CLE"
1928,"CLE"
1927,"CLE"
1926,"CLE"
1925,"CLE"
1924,"CLE"
1923,"CLE"
1922,"CLE"
1921,"CLE"
1920,"CLE"
1919,"CLE"
1918,"CLE"
1917,"CLE"
1916,"CLE"
1915,"CLE"
1914,"CLE"
1913,"CLE"
1912,"CLE"
1911,"CLE"
1910,"CLE"
1909,"CLE"
1908,"CLE"
1907,"CLE"
1906,"CLE"
1905,"CLE"
1904,"CLE"
1903,"CLE"
1902,"CLE"
1901,"CLE"
2015,"DET"
2014,"DET"
2013,"DET"
2012,"DET"
2011,"DET"
2010,"DET"
2009,"DET"
2008,"DET"
2007,"DET"
2006,"DET"
2005,"DET"
2004,"DET"
2003,"DET"
2002,"DET"
2001,"DET"
2000,"DET"
1999,"DET"
1998,"DET"
1997,"DET"
1996,"DET"
1995,"DET"
1994,"DET"
1993,"DET"
1992,"DET"
1991,"DET"
1990,"DET"
1989,"DET"
1988,"DET"
1987,"DET"
1986,"DET"
1985,"DET"
1984,"DET"
1983,"DET"
1982,"DET"
1981,"DET"
